G1G48-648-MONOMER	G1G48-648		phosphohydrolase	
G1G48-42-MONOMER	G1G48-42		dioxygenase	
G1G48-1080-MONOMER	G1G48-1080	Q5LUJ3	ABC transporter substrate-binding protein	
G1G48-751-MONOMER	G1G48-751	Q5LVG1	phenylacetic acid degradation protein PaaD	
CPLX1G48-5			predicted ABC transporter of phosphonate	
G1G48-2497-MONOMER	G1G48-2497	Q5LQN4	LPS export ABC transporter permease LptG	
G1G48-2068-MONOMER	G1G48-2068	Q5LRU4	multidrug transporter	
G1G48-2429-MONOMER	G1G48-2429	Q5LQU7	LysE family translocator protein	
G1G48-3706-MONOMER	G1G48-3706	Q5LMB4	hydroxymethylbilane synthase	
G1G48-4397-MONOMER	G1G48-4397	Q5LKG1	hypothetical protein	
G1G48-854-MONOMER	G1G48-854	Q5LV58	hypothetical protein	
G1G48-52-MONOMER	G1G48-52		thiaminase II	
G1G48-3282-MONOMER	G1G48-3282	Q5LNH3	hydrolase	
G1G48-4238-MONOMER	G1G48-4238	Q5LKW2	dihydrodipicolinate synthase family protein	
G1G48-3144-MONOMER	G1G48-3144	Q5LNV9	hypothetical protein	
G1G48-3643-MONOMER	G1G48-3643	Q5LMH6	hypothetical protein	
G1G48-2730-MONOMER	G1G48-2730	Q5LQ12	hypothetical protein	
G1G48-1944-MONOMER	G1G48-1944	Q5LS60	hypothetical protein	
G1G48-3741-MONOMER	G1G48-3741	Q5LM80	LacI family transcriptional regulator	
G1G48-1820-MONOMER	G1G48-1820		cupin	
G1G48-987-MONOMER	G1G48-987		LysR family transcriptional regulator	
G1G48-129-MONOMER	G1G48-129		membrane protein	
G1G48-4269-MONOMER	G1G48-4269	Q5LKT2	ABC transporter ATP-binding protein	
G1G48-138-MONOMER	G1G48-138		penicillin-binding protein 1C	
G1G48-3491-MONOMER	G1G48-3491	Q5LMX3	enoyl-CoA hydratase	
G1G48-3196-MONOMER	G1G48-3196	Q5LNQ7	conjugative transfer protein GumN	
G1G48-193-MONOMER	G1G48-193	Q5LWY1	ABC transporter substrate-binding protein	
G1G48-256-MONOMER	G1G48-256	Q5LX38	DNA-binding response regulator	
G1G48-1004-MONOMER	G1G48-1004	Q5LUQ8	thiosulfate oxidation carrier complex protein SoxZ	
G1G48-3252-MONOMER	G1G48-3252	Q5LNK2	hypothetical protein	
G1G48-2001-MONOMER	G1G48-2001	Q5LS07	histidine phosphatase family protein	
G1G48-4126-MONOMER	G1G48-4126	Q5LL72	type I secretion target repeat-containing protein	
G1G48-3019-MONOMER	G1G48-3019	Q5LP78	MFS transporter	
G1G48-1658-MONOMER	G1G48-1658		hypothetical protein	
G1G48-1181-MONOMER	G1G48-1181	Q5LU93	imidazole glycerol phosphate synthase subunit HisH	
G1G48-2701-MONOMER	G1G48-2701	Q5LQ41	replicative DNA helicase	
G1G48-4217-MONOMER	G1G48-4217	Q5LKY3	4-hydroxythreonine-4-phosphate dehydrogenase	
G1G48-2144-MONOMER	G1G48-2144	Q5LRL9	helix-turn-helix domain containing protein	
G1G48-1153-MONOMER	G1G48-1153	Q5LUC1	glycine/betaine ABC transporter permease	
G1G48-2345-MONOMER	G1G48-2345	Q5LR23	EamA family transporter	
G1G48-649-MONOMER	G1G48-649	Q5LVR1	LysR family transcriptional regulator	
G1G48-1730-MONOMER	G1G48-1730	Q5LSR5	dihydrodipicolinate synthase family protein	
G1G48-666-MONOMER	G1G48-666	Q5LVP4	DNA polymerase III subunit alpha	
G1G48-3330-MONOMER	G1G48-3330	Q5LND1	DNA polymerase IV	
G1G48-325-MONOMER	G1G48-325	Q5LX98	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	
G1G48-655-MONOMER	G1G48-655	Q5LVQ5	multidrug resistance efflux pump	
G1G48-2851-MONOMER	G1G48-2851	Q5LPP7	LPS biosynthesis protein	
G1G48-1868-MONOMER	G1G48-1868	Q5LSD7	ABC transporter ATP-binding protein	
G1G48-1598-MONOMER	G1G48-1598		LuxR family transcriptional regulator	
G1G48-2933-MONOMER	G1G48-2933		hypothetical protein	
G1G48-2737-MONOMER	G1G48-2737	Q5LQ05	hypothetical protein	
G1G48-694-MONOMER	G1G48-694	Q5LVL6	glyoxalase	
G1G48-2573-MONOMER	G1G48-2573	Q5LQG0	branched-chain amino acid ABC transporter permease	
G1G48-1448-MONOMER	G1G48-1448	Q5LTJ8	hypothetical protein	
G1G48-2865-MONOMER	G1G48-2865	Q5LPN3	ABC transporter substrate-binding protein	
G1G48-992-MONOMER	G1G48-992	Q5LUS0	elongation factor 4	
G1G48-3050-MONOMER	G1G48-3050	Q5LP49	hypothetical protein	
G1G48-4362-MONOMER	G1G48-4362	Q5LKJ7	ABC transporter permease	
G1G48-3150-MONOMER	G1G48-3150	Q5LNV3	DNA-binding protein	
G1G48-4302-MONOMER	G1G48-4302	Q5LKQ3	hypothetical protein	
G1G48-1431-MONOMER	G1G48-1431		hypothetical protein	
G1G48-1035-MONOMER	G1G48-1035		hypothetical protein	
G1G48-3028-MONOMER	G1G48-3028		peptidyl-arginine deiminase	
G1G48-1-MONOMER	G1G48-1	Q5LWF3	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	
G1G48-3493-MONOMER	G1G48-3493	Q5LMX1	hypothetical protein	
G1G48-1103-MONOMER	G1G48-1103	Q5LUH0	hypothetical protein	
G1G48-482-MONOMER	G1G48-482	Q5LW66	phosphonate metabolism protein PhnM	
G1G48-2157-MONOMER	G1G48-2157		arginase	
G1G48-3327-MONOMER	G1G48-3327		hypothetical protein	
G1G48-3953-MONOMER	G1G48-3953	Q5LLN1	shikimate dehydrogenase	
CPLX1G48-23			predicted ABC transporter of a sugar	
G1G48-2261-MONOMER	G1G48-2261	Q5LRA7	dihydrolipoyl dehydrogenase	
G1G48-675-MONOMER	G1G48-675	Q5LVN5	slyX protein	
G1G48-148-MONOMER	G1G48-148	Q5LWU1	ubiquinone biosynthesis protein UbiB	
G1G48-443-MONOMER	G1G48-443	Q5LWA6	DUF159 family protein	
G1G48-5-MONOMER	G1G48-5	Q5LWF9	hypothetical protein	
G1G48-1442-MONOMER	G1G48-1442	Q5LTK4	peptidase M19	
G1G48-62-MONOMER	G1G48-62	Q5LWL4	translation initiation factor IF-2	
G1G48-1233-MONOMER	G1G48-1233	Q5LU46	peptide ABC transporter permease	
G1G48-4222-MONOMER	G1G48-4222		C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-4158-MONOMER	G1G48-4158	Q5LL41	CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone	
G1G48-252-MONOMER	G1G48-252	Q5LX42	1-deoxy-D-xylulose-5-phosphate synthase	
G1G48-762-MONOMER	G1G48-762	Q5LVF0	phenylacetic acid degradation protein	
G1G48-3588-MONOMER	G1G48-3588		elongation factor G	
G1G48-3566-MONOMER	G1G48-3566	Q5LMQ2	glycosyl transferase family 2	
G1G48-135-MONOMER	G1G48-135	Q5LWT5	hybrid sensor histidine kinase/response regulator	
G1G48-4253-MONOMER	G1G48-4253	Q5LKU8	LysR family transcriptional regulator	
G1G48-3550-MONOMER	G1G48-3550	Q5LMR6	mechanosensitive ion channel protein MscS	
G1G48-4087-MONOMER	G1G48-4087	Q5LLB0	gentisate 1,2-dioxygenase	
G1G48-3053-MONOMER	G1G48-3053	Q5LP46	peptidoglycan-binding protein LysM	
G1G48-1902-MONOMER	G1G48-1902	Q5LSA2	hypothetical protein	
G1G48-1923-MONOMER	G1G48-1923	Q5LS81	phosphoribosylaminoimidazolesuccinocarboxamide synthase	
G1G48-892-MONOMER	G1G48-892		hypothetical protein	
G1G48-1134-MONOMER	G1G48-1134	Q5LUE0	membrane protein	
G1G48-1171-MONOMER	G1G48-1171	Q5LUA3	hypothetical protein	
G1G48-4391-MONOMER	G1G48-4391	Q5LKG7	oxidoreductase	
G1G48-3285-MONOMER	G1G48-3285	Q5LNH0	ATP synthase subunit C	
G1G48-1968-MONOMER	G1G48-1968	Q5LS40	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	
G1G48-4059-MONOMER	G1G48-4059	Q5LLD5	FAD-binding oxidoreductase	
G1G48-700-MONOMER	G1G48-700	Q5LVL0	GTP-binding protein	
G1G48-765-MONOMER	G1G48-765	Q5LVE7	phenylacetic acid degradation protein	
G1G48-4375-MONOMER	G1G48-4375	Q5LKI4	hypothetical protein	
G1G48-4176-MONOMER	G1G48-4176	Q5LL24	serine protease	
G1G48-3932-MONOMER	G1G48-3932	Q5LLQ1	nucleotidyltransferase	
G1G48-2199-MONOMER	G1G48-2199	Q5LRG7	hypothetical protein	
G1G48-3038-MONOMER	G1G48-3038	Q5LP60	hypothetical protein	
G1G48-3386-MONOMER	G1G48-3386	Q5LN78	hypothetical protein	
G1G48-55-MONOMER	G1G48-55		hypothetical protein	
G1G48-393-MONOMER	G1G48-393		universal stress protein	
G1G48-1509-MONOMER	G1G48-1509	Q5LTD6	RNA polymerase sigma factor RpoE	
G1G48-1386-MONOMER	G1G48-1386	V5UZD3	hypothetical protein	
G1G48-660-MONOMER	G1G48-660	Q5LVQ0	ABC transporter permease	
G1G48-2096-MONOMER	G1G48-2096	Q5LRR7	hypothetical protein	
G1G48-586-MONOMER	G1G48-586	Q5LVW6	3-methylcrotonyl-CoA carboxylase subunit alpha	
G1G48-2101-MONOMER	G1G48-2101	Q5LRR2	N-acetyltransferase	
G1G48-3541-MONOMER	G1G48-3541	Q5LMS5	transcriptional regulator	
G1G48-1978-MONOMER	G1G48-1978	Q5LS30	hypothetical protein	
G1G48-3517-MONOMER	G1G48-3517	Q5LMU9	flagellar basal body rod modification protein FlgD	FlgD
G1G48-2321-MONOMER	G1G48-2321	Q5LR47	lytic transglycosylase	
G1G48-3072-MONOMER	G1G48-3072	Q5LP30	valine--tRNA ligase	
G1G48-1244-MONOMER	G1G48-1244		hypothetical protein	
G1G48-3046-MONOMER	G1G48-3046	Q5LP53	ABC transporter permease	
G1G48-1265-MONOMER	G1G48-1265	Q5LU20	protein-L-isoaspartate O-methyltransferase	
G1G48-1754-MONOMER	G1G48-1754		hypothetical protein	
G1G48-3125-MONOMER	G1G48-3125	Q5LNX7	cytochrome c oxidase subunit II	
G1G48-4303-MONOMER	G1G48-4303		hypothetical protein	
G1G48-1155-MONOMER	G1G48-1155		3-dehydroquinate dehydratase	
G1G48-2423-MONOMER	G1G48-2423	Q5LQV3	tricarboxylate transporter family protein	
G1G48-1487-MONOMER	G1G48-1487	Q5LTF8	C4-dicarboxylate ABC transporter permease	
G1G48-4034-MONOMER	G1G48-4034	Q5LLF0	translation initiation factor IF-1	
G1G48-495-MONOMER	G1G48-495	Q5LW54	IS1380 family transposase ISSpo2	
G1G48-3320-MONOMER	G1G48-3320	Q5LNE1	sulfoxide reductase heme-binding subunit YedZ	
G1G48-3307-MONOMER	G1G48-3307	Q5LNE8	50S ribosomal protein L19	
G1G48-963-MONOMER	G1G48-963	Q5LUU6	hypothetical protein	
G1G48-2384-MONOMER	G1G48-2384	Q5LQY7	sarcosine oxidase subunit alpha	
G1G48-1625-MONOMER	G1G48-1625		alcohol dehydrogenase	
G1G48-1262-MONOMER	G1G48-1262		hypothetical protein	
G1G48-4191-MONOMER	G1G48-4191		nitrite reductase	
G1G48-2489-MONOMER	G1G48-2489	Q5LQP2	glycosyl transferase family 1	
G1G48-785-MONOMER	G1G48-785	Q5LVC7	acyl-CoA dehydrogenase	
G1G48-1116-MONOMER	G1G48-1116		hypothetical protein	
G1G48-3697-MONOMER	G1G48-3697	Q5LMC3	sugar ABC transporter permease	
G1G48-1064-MONOMER	G1G48-1064		hypothetical protein	
G1G48-1791-MONOMER	G1G48-1791	Q5LSL2	capsular polysaccharide biosynthesis protein	
G1G48-1545-MONOMER	G1G48-1545	Q5LTA0	branched-chain amino acid ABC transporter substrate-binding protein	
G1G48-4363-MONOMER	G1G48-4363	Q5LKJ6	FAD-dependent oxidoreductase	
G1G48-3397-MONOMER	G1G48-3397		hypothetical protein	
G1G48-704-MONOMER	G1G48-704	Q5LVK6	hypothetical protein	
G1G48-426-MONOMER	G1G48-426		rod shape-determining protein MreC	
G1G48-2194-MONOMER	G1G48-2194	Q5LRH2	glutamate--tRNA ligase 2	
G1G48-3220-MONOMER	G1G48-3220		peptidase M24	
G1G48-1787-MONOMER	G1G48-1787	Q5LSL6	hypothetical protein	
G1G48-28-MONOMER	G1G48-28	Q5LWH3	multidrug ABC transporter ATPase	
G1G48-1622-MONOMER	G1G48-1622	Q5LT24	(2Fe-2S)-binding protein	
G1G48-1744-MONOMER	G1G48-1744	Q5LSQ5	urease accessory protein UreD	
G1G48-96-MONOMER	G1G48-96		nicotinate phosphoribosyltransferase	
G1G48-1279-MONOMER	G1G48-1279		hypothetical protein	
G1G48-2788-MONOMER	G1G48-2788	Q5LPW1	SPOR domain-containing protein	
G1G48-130-MONOMER	G1G48-130	Q5LWS3	aminoacyl-tRNA hydrolase	
G1G48-1971-MONOMER	G1G48-1971		invasion protein	
G1G48-3077-MONOMER	G1G48-3077		histidinol-phosphate aminotransferase	
G1G48-951-MONOMER	G1G48-951		30S ribosomal protein S12 methylthiotransferase RimO	
G1G48-2441-MONOMER	G1G48-2441	Q5LQT7	carbon monoxide dehydrogenase	
G1G48-444-MONOMER	G1G48-444	Q5LWA5	cold-shock protein	
G1G48-3443-MONOMER	G1G48-3443	Q5LN21	alpha-1,2-fucosyltransferase	
G1G48-571-MONOMER	G1G48-571	Q5LVY1	dimethylglycine dehydrogenase	
G1G48-1006-MONOMER	G1G48-1006	Q5LUQ6	thiosulfohydrolase SoxB	
G1G48-2771-MONOMER	G1G48-2771	V5UYX9	hypothetical protein	
G1G48-3713-MONOMER	G1G48-3713	Q5LMA7	ATP-dependent Clp protease adaptor ClpS	
G1G48-179-MONOMER	G1G48-179	Q5LWX7	flagellar L-ring protein	
G1G48-356-MONOMER	G1G48-356	Q5LXE1	malate dehydrogenase	
G1G48-3623-MONOMER	G1G48-3623	Q5LMJ6	ribonuclease T(2)	
G1G48-3300-MONOMER	G1G48-3300	Q5LNF5	acetyltransferase	
G1G48-2954-MONOMER	G1G48-2954	Q5LPE3	hypothetical protein	
G1G48-2229-MONOMER	G1G48-2229		imidazolonepropionase	
G1G48-1315-MONOMER	G1G48-1315	Q5LTX3	glyoxalase	
G1G48-2286-MONOMER	G1G48-2286	Q5LR81	molecular chaperone DnaK	
G1G48-1758-MONOMER	G1G48-1758	Q5LSP3	GntR family transcriptional regulator	
G1G48-2608-MONOMER	G1G48-2608		hypothetical protein	
G1G48-2470-MONOMER	G1G48-2470	Q5LQR1	oxidoreductase	
G1G48-2618-MONOMER	G1G48-2618	Q5LQB9	ABC transporter substrate-binding protein	
G1G48-2687-MONOMER	G1G48-2687		membrane protein	
G1G48-1603-MONOMER	G1G48-1603	Q5LT43	phosphoenolpyruvate carboxylase	
G1G48-159-MONOMER	G1G48-159	Q5LWU8	DNA gyrase subunit B	
G1G48-4413-MONOMER	G1G48-4413	Q5LKE5	hydrolase	
G1G48-979-MONOMER	G1G48-979	Q5LUT1	ATP-dependent helicase HrpB	
G1G48-1127-MONOMER	G1G48-1127	Q5LUE6	molecular chaperone DjlA	
G1G48-1249-MONOMER	G1G48-1249		hypothetical protein	
G1G48-1860-MONOMER	G1G48-1860	Q5LSE5	glycerol-3-phosphate ABC transporter ATP-binding protein	
G1G48-1495-MONOMER	G1G48-1495	Q5LTF0	TRAP dicarboxylate transporter subunit DctQ	
G1G48-2674-MONOMER	G1G48-2674	Q5LQ67	sigma-54-dependent Fis family transcriptional regulator	
G1G48-954-MONOMER	G1G48-954	Q5LUV5	3-deoxy-8-phosphooctulonate synthase	
G1G48-2269-MONOMER	G1G48-2269		peptidase M23	
G1G48-912-MONOMER	G1G48-912		hypothetical protein	
G1G48-31-MONOMER	G1G48-31	Q5LWI9	transpeptidase	
G1G48-730-MONOMER	G1G48-730	Q5LVI1	electron transfer flavoprotein subunit beta	
G1G48-1974-MONOMER	G1G48-1974	Q5LS34	branched-chain amino acid ABC transporter permease	
G1G48-2413-MONOMER	G1G48-2413	Q5LQW1	AsnC family transcriptional regulator	
G1G48-3650-MONOMER	G1G48-3650	Q5LMG9	phenylalanine--tRNA ligase subunit beta	
G1G48-3917-MONOMER	G1G48-3917	Q5LLR5	hypothetical protein	
G1G48-4019-MONOMER	G1G48-4019	Q5LLG5	aspartate racemase	
G1G48-3942-MONOMER	G1G48-3942	Q5LLP2	HslU--HslV peptidase proteolytic subunit	
G1G48-1814-MONOMER	G1G48-1814	Q5LSJ0	hypothetical protein	
G1G48-735-MONOMER	G1G48-735	Q5LVH6	hypothetical protein	
G1G48-260-MONOMER	G1G48-260	Q5LX34	MarR family transcriptional regulator	
G1G48-4088-MONOMER	G1G48-4088		Asp/Glu racemase	
G1G48-2078-MONOMER	G1G48-2078	Q5LRT4	CoA transferase	
G1G48-3877-MONOMER	G1G48-3877	Q5LLV4	acetyl-CoA carboxylase carboxyl transferase subunit beta	
G1G48-2301-MONOMER	G1G48-2301		hypothetical protein	
CPLX1G48-15			predicted ABC transporter of a branched-chain amino acid	
G1G48-3790-MONOMER	G1G48-3790	Q5LM33	phosphodiesterase	
G1G48-2089-MONOMER	G1G48-2089	Q5LRS4	DNA gyrase subunit A	
G1G48-2622-MONOMER	G1G48-2622		transporter	
G1G48-816-MONOMER	G1G48-816	Q5LV96	N-(5'-phosphoribosyl)anthranilate isomerase	
G1G48-27-MONOMER	G1G48-27	Q5LWH4	multidrug ABC transporter ATP-binding protein	
G1G48-1060-MONOMER	G1G48-1060	Q5LUK5	DNA (cytosine-5-)-methyltransferase	
G1G48-2332-MONOMER	G1G48-2332	Q5LR37	type I glutamate--ammonia ligase	
G1G48-4147-MONOMER	G1G48-4147	Q5LL51	hypothetical protein	
G1G48-113-MONOMER	G1G48-113	Q5LWS0	poly-beta-hydroxybutyrate polymerase	
G1G48-2228-MONOMER	G1G48-2228	Q5LRE0	GntR family transcriptional regulator	
CPLX1G48-10			predicted ABC transporter of D-ribose	
G1G48-230-MONOMER	G1G48-230		cytochrome P450	
G1G48-3991-MONOMER	G1G48-3991	Q5LLL6	CBS domain-containing protein	
G1G48-1633-MONOMER	G1G48-1633	Q5LT13	2-dehydropantoate 2-reductase	
G1G48-4304-MONOMER	G1G48-4304		hypothetical protein	
G1G48-4199-MONOMER	G1G48-4199	Q5LL01	cytochrome CBB3	
G1G48-4060-MONOMER	G1G48-4060	Q5LLD4	hypothetical protein	
G1G48-472-MONOMER	G1G48-472	Q5LW76	formate transporter	
G1G48-1798-MONOMER	G1G48-1798	Q5LSK4	transcription antitermination factor NusB	
G1G48-3524-MONOMER	G1G48-3524	Q5LMU2	GntR family transcriptional regulator	
G1G48-1710-MONOMER	G1G48-1710	Q5LST6	DNA ligase (NAD(+)) LigA	
G1G48-3409-MONOMER	G1G48-3409	Q5LN55	LysR family transcriptional regulator	
G1G48-1546-MONOMER	G1G48-1546	Q5LT99	cytochrome c-550 PedF	
G1G48-3478-MONOMER	G1G48-3478	Q5LMY6	DNA-binding response regulator	
G1G48-990-MONOMER	G1G48-990		hypothetical protein	
G1G48-3959-MONOMER	G1G48-3959		hypothetical protein	
G1G48-2958-MONOMER	G1G48-2958	Q5LPD9	MATE family efflux transporter	
G1G48-2254-MONOMER	G1G48-2254	Q5LRB4	glyoxalase	
G1G48-2901-MONOMER	G1G48-2901	Q5LPJ6	hypothetical protein	
G1G48-3435-MONOMER	G1G48-3435	Q5LN29	peroxidase	
G1G48-2874-MONOMER	G1G48-2874		kynureninase	
G1G48-312-MONOMER	G1G48-312		formate dehydrogenase	
G1G48-1854-MONOMER	G1G48-1854	Q5LSF1	anion permease	
G1G48-2019-MONOMER	G1G48-2019		DUF3553 domain-containing protein	
G1G48-3970-MONOMER	G1G48-3970	Q5LLL0	DNA topology modulation kinase FlaR	
G1G48-2142-MONOMER	G1G48-2142	Q5LRM1	hypothetical protein	
G1G48-4103-MONOMER	G1G48-4103	Q5LL94	oxidoreductase	
G1G48-385-MONOMER	G1G48-385	Q5LXG3	heme ABC transporter ATP-binding protein	
G1G48-387-MONOMER	G1G48-387	Q5LXG1	alanine acetyltransferase	
G1G48-2403-MONOMER	G1G48-2403	Q5LQX0	phosphoserine phosphatase SerB	
G1G48-898-MONOMER	G1G48-898	Q5LV14	N-acetyltransferase	
G1G48-3752-MONOMER	G1G48-3752	Q5LM69	C4-dicarboxylate ABC transporter permease	
G1G48-564-MONOMER	G1G48-564	Q5LVY7	small mechanosensitive ion channel protein MscS	
G1G48-3332-MONOMER	G1G48-3332	Q5LNC9	N-formylglutamate amidohydrolase	
G1G48-3782-MONOMER	G1G48-3782	Q5LM41	ammonium transporter	
G1G48-926-MONOMER	G1G48-926		hypothetical protein	
G1G48-1207-MONOMER	G1G48-1207		aminoacetone oxidase family FAD-binding enzyme	
G1G48-1132-MONOMER	G1G48-1132	Q5LUE2	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-2611-MONOMER	G1G48-2611		hypothetical protein	
G1G48-4239-MONOMER	G1G48-4239	Q5LKW1	IclR family transcriptional regulator	
G1G48-2807-MONOMER	G1G48-2807	Q5LPU2	calcium-binding protein	
G1G48-2796-MONOMER	G1G48-2796	Q5LPV3	hypothetical protein	
G1G48-4270-MONOMER	G1G48-4270	Q5LKT1	branched-chain amino acid ABC transporter permease	
G1G48-283-MONOMER	G1G48-283		diaminopimelate epimerase	
G1G48-1878-MONOMER	G1G48-1878	Q5LSC7	ATPase	
G1G48-3710-MONOMER	G1G48-3710	Q5LMB0	coproporphyrinogen III oxidase	
G1G48-2123-MONOMER	G1G48-2123	Q5LRP0	sigma-54-dependent Fis family transcriptional regulator	
G1G48-2691-MONOMER	G1G48-2691	Q5LQ50	ATP-binding protein	
G1G48-1735-MONOMER	G1G48-1735		hypothetical protein	
G1G48-3893-MONOMER	G1G48-3893		DEAD/DEAH box helicase	
G1G48-1026-MONOMER	G1G48-1026	Q5LUN6	ABC transporter ATP-binding protein	
G1G48-525-MONOMER	G1G48-525		ATPase	
G1G48-1924-MONOMER	G1G48-1924	Q5LS80	phosphoribosylformylglycinamidine synthase subunit PurS	
G1G48-1643-MONOMER	G1G48-1643	Q5LT03	hypothetical protein	
G1G48-3831-MONOMER	G1G48-3831	Q5LLZ3	undecaprenyl-diphosphatase	
G1G48-1433-MONOMER	G1G48-1433	Q5LTL3	aspartate aminotransferase family protein	
G1G48-45-MONOMER	G1G48-45	Q5LWJ4	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	
G1G48-1903-MONOMER	G1G48-1903	Q5LSA1	cell division protein ZapA	
G1G48-1567-MONOMER	G1G48-1567		hypothetical protein	
G1G48-1284-MONOMER	G1G48-1284		polyphosphate kinase 2	
G1G48-2719-MONOMER	G1G48-2719		paraquat-inducible protein A	
G1G48-2583-MONOMER	G1G48-2583	Q5LQF0	acetyl-CoA carboxylase biotin carboxylase subunit	
G1G48-2784-MONOMER	G1G48-2784	Q5LPW4	type I restriction-modification system, R subunit	
G1G48-1293-MONOMER	G1G48-1293	Q5LTZ5	transcriptional regulator	
G1G48-416-MONOMER	G1G48-416	Q5LWD3	deoxyuridine 5'-triphosphate nucleotidohydrolase	
G1G48-1193-MONOMER	G1G48-1193	Q5LU84	DNA helicase II	
G1G48-4364-MONOMER	G1G48-4364	Q5LKJ5	choline dehydrogenase	
G1G48-1441-MONOMER	G1G48-1441	Q5LTK5	RNA polymerase sigma factor RpoH	
G1G48-1536-MONOMER	G1G48-1536	Q5LTA9	hybrid sensor histidine kinase/response regulator	
G1G48-71-MONOMER	G1G48-71	Q5LWM3	glutaredoxin 3	
G1G48-1211-MONOMER	G1G48-1211	Q5LU66	hypothetical protein	
G1G48-2363-MONOMER	G1G48-2363	Q5LR06	hypothetical protein	
G1G48-3009-MONOMER	G1G48-3009		LysR family transcriptional regulator	
G1G48-290-MONOMER	G1G48-290	Q5LX76	hypothetical protein	
G1G48-2406-MONOMER	G1G48-2406		amino acid ABC transporter permease	
G1G48-3933-MONOMER	G1G48-3933	Q5LLQ0	double-strand break repair protein AddB	
G1G48-1697-MONOMER	G1G48-1697	Q5LSV0	phosphatidate cytidylyltransferase	
G1G48-3845-MONOMER	G1G48-3845	Q5LLY0	sugar ABC transporter permease	
G1G48-1646-MONOMER	G1G48-1646	Q5LT00	hypothetical protein	
CPLX1G48-36			predicted ABC transporter of an amino acid	
G1G48-2872-MONOMER	G1G48-2872	Q5LPM6	soxH protein	
G1G48-4305-MONOMER	G1G48-4305		hypothetical protein	
G1G48-2769-MONOMER	G1G48-2769		hypothetical protein	
G1G48-504-MONOMER	G1G48-504	Q5LW46	50S ribosomal protein L5	
G1G48-3653-MONOMER	G1G48-3653	Q5LMG6	amine oxidase	
G1G48-3766-MONOMER	G1G48-3766	Q5LM55	branched-chain amino acid ABC transporter permease	
G1G48-843-MONOMER	G1G48-843	Q5LV69	NADH-quinone oxidoreductase subunit F	
G1G48-2214-MONOMER	G1G48-2214	Q5LRF4	AI-2E family transporter	
G1G48-1593-MONOMER	G1G48-1593	Q5LT53	hypothetical protein	
G1G48-1226-MONOMER	G1G48-1226	Q5LU53	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	
G1G48-1544-MONOMER	G1G48-1544	Q5LTA1	membrane protein	
G1G48-2354-MONOMER	G1G48-2354	Q5LR15	cytochrome c biogenesis ATP-binding export protein CcmA	
G1G48-3457-MONOMER	G1G48-3457	Q5LN07	diguanylate cyclase	
G1G48-4422-MONOMER	G1G48-4422	Q5LKD5	LysR family transcriptional regulator	
G1G48-512-MONOMER	G1G48-512	Q5LW38	50S ribosomal protein L15	
G1G48-3520-MONOMER	G1G48-3520	Q5LMU6	putrescine ABC transporter permease PotI	
G1G48-4004-MONOMER	G1G48-4004	F7IU51	pca operon transcription factor PcaQ	
G1G48-2325-MONOMER	G1G48-2325	Q5LR43	trigger factor	
G1G48-445-MONOMER	G1G48-445	Q5LWA4	L,D-transpeptidase	
G1G48-2685-MONOMER	G1G48-2685		XdhC/CoxI family protein	
G1G48-3075-MONOMER	G1G48-3075	Q5LP27	enoyl-CoA hydratase	
G1G48-287-MONOMER	G1G48-287	Q5LX62	glycerol-3-phosphate acyltransferase	
G1G48-629-MONOMER	G1G48-629	Q5LVS5	ankyrin repeat-containing protein	
G1G48-3910-MONOMER	G1G48-3910		hypothetical protein	
G1G48-407-MONOMER	G1G48-407	Q5LWE2	hypothetical protein	
G1G48-853-MONOMER	G1G48-853	Q5LV59	glycosyl transferase	
G1G48-792-MONOMER	G1G48-792	Q5LVC0	phosphonate ABC transporter, permease protein PhnE	
G1G48-1961-MONOMER	G1G48-1961	Q5LS45	DNA methyltransferase yeeA	
G1G48-2394-MONOMER	G1G48-2394	Q5LQX8	anion permease	
G1G48-4223-MONOMER	G1G48-4223	Q5LKX7	LacI family transcriptional regulator	
G1G48-1882-MONOMER	G1G48-1882	Q5LSC3	dehydrogenase	
G1G48-80-MONOMER	G1G48-80	Q5LWN2	ABC transporter ATP-binding protein	
G1G48-2342-MONOMER	G1G48-2342	Q5LR27	adenylosuccinate lyase	
G1G48-1554-MONOMER	G1G48-1554	Q5LT91	MBL fold hydrolase	
G1G48-2020-MONOMER	G1G48-2020	Q5LRY7	histidine phosphotransferase	
G1G48-2689-MONOMER	G1G48-2689	Q5LQ52	VWA domain-containing protein	
G1G48-483-MONOMER	G1G48-483		hypothetical protein	
G1G48-122-MONOMER	G1G48-122	Q5LWR4	AsnC family transcriptional regulator	
G1G48-346-MONOMER	G1G48-346	Q5LXD2	1-acyl-sn-glycerol-3-phosphate acyltransferase	
G1G48-1404-MONOMER	G1G48-1404	Q5LTP0	hypothetical protein	
